* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Aug 23 19:25:22, Aug 23 19:25:38, Aug 23 19:25:53
* Dated: Aug 23, 2020 7:26:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from Aug 23 19:25:22, Aug 23 19:25:38, Aug 23 19:25:53
* Measurement: avg_left
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.888 55.481 0
10.254 55.398 0
10.620 54.746 0
10.986 53.282 0
11.353 51.133 0
11.719 48.963 0
12.085 48.203 0
12.451 48.623 0
12.817 48.807 0
13.184 48.504 0
13.550 48.484 0
13.916 49.451 0
14.282 50.894 0
14.648 52.140 0
15.015 53.028 0
15.381 53.654 0
15.747 54.099 0
16.113 54.310 0
16.479 54.137 0
16.846 53.460 0
17.212 52.269 0
17.578 50.770 0
17.944 49.470 0
18.311 48.779 0
18.677 48.343 0
19.043 47.446 0
19.409 45.621 0
19.775 43.104 0
20.142 42.288 0
20.508 44.004 0
20.874 45.292 0
21.240 45.791 0
21.606 47.901 0
21.973 52.094 0
22.339 55.932 0
22.705 58.679 0
23.071 60.340 0
23.438 60.955 0
23.804 60.478 0
24.170 58.766 0
24.536 55.855 0
24.902 54.314 0
25.269 57.130 0
25.635 60.168 0
26.001 62.327 0
26.367 64.104 0
26.733 65.954 0
27.100 67.929 0
27.466 69.838 0
27.832 71.573 0
28.198 73.222 0
28.564 74.987 0
28.931 77.000 0
29.297 79.185 0
29.663 81.347 0
30.029 83.320 0
30.396 85.017 0
30.762 86.405 0
31.128 87.483 0
31.494 88.261 0
31.860 88.754 0
32.227 88.974 0
32.593 88.936 0
32.959 88.663 0
33.325 88.202 0
33.691 87.639 0
34.058 87.115 0
34.424 86.795 0
34.790 86.773 0
35.156 86.993 0
35.522 87.301 0
35.889 87.552 0
36.255 87.671 0
36.621 87.651 0
36.987 87.538 0
37.354 87.404 0
37.720 87.311 0
38.086 87.281 0
38.452 87.298 0
38.818 87.329 0
39.185 87.356 0
39.551 87.384 0
39.917 87.432 0
40.283 87.511 0
40.649 87.614 0
41.016 87.724 0
41.382 87.829 0
41.748 87.930 0
42.114 88.042 0
42.480 88.177 0
42.847 88.333 0
43.213 88.497 0
43.579 88.655 0
43.945 88.801 0
44.312 88.945 0
44.678 89.099 0
45.044 89.272 0
45.410 89.467 0
45.776 89.686 0
46.143 89.939 0
46.509 90.239 0
46.875 90.581 0
47.241 90.933 0
47.607 91.235 0
47.974 91.419 0
48.340 91.428 0
48.706 91.239 0
49.072 90.868 0
49.438 90.387 0
49.805 89.924 0
50.171 89.622 0
50.537 89.560 0
50.903 89.700 0
51.270 89.932 0
51.636 90.159 0
52.002 90.340 0
52.368 90.481 0
52.734 90.613 0
53.101 90.767 0
53.467 90.956 0
53.833 91.172 0
54.199 91.394 0
54.565 91.602 0
54.932 91.785 0
55.298 91.945 0
55.664 92.094 0
56.030 92.249 0
56.396 92.422 0
56.763 92.610 0
57.129 92.800 0
57.495 92.977 0
57.861 93.131 0
58.228 93.267 0
58.594 93.398 0
58.960 93.537 0
59.326 93.684 0
59.692 93.822 0
60.059 93.927 0
60.425 93.973 0
60.791 93.947 0
61.157 93.848 0
61.523 93.683 0
61.890 93.463 0
62.256 93.189 0
62.622 92.856 0
62.988 92.451 0
63.354 91.959 0
63.721 91.376 0
64.087 90.706 0
64.453 89.967 0
64.819 89.184 0
65.186 88.381 0
65.552 87.575 0
65.918 86.770 0
66.284 85.963 0
66.650 85.149 0
67.017 84.331 0
67.383 83.516 0
67.749 82.720 0
68.115 81.960 0
68.481 81.249 0
68.848 80.598 0
69.214 80.013 0
69.580 79.497 0
69.946 79.044 0
70.312 78.641 0
70.679 78.266 0
71.045 77.897 0
71.411 77.516 0
71.777 77.120 0
72.144 76.727 0
72.510 76.371 0
72.876 76.085 0
73.242 75.882 0
73.608 75.736 0
73.975 75.592 0
74.341 75.389 0
74.707 75.077 0
75.073 74.629 0
75.439 74.036 0
75.806 73.308 0
76.172 72.468 0
76.538 71.546 0
76.904 70.580 0
77.271 69.607 0
77.637 68.668 0
78.003 67.804 0
78.369 67.058 0
78.735 66.472 0
79.102 66.076 0
79.468 65.879 0
79.834 65.869 0
80.200 66.011 0
80.566 66.270 0
80.933 66.615 0
81.299 67.027 0
81.665 67.495 0
82.031 68.009 0
82.397 68.554 0
82.764 69.108 0
83.130 69.646 0
83.496 70.146 0
83.862 70.592 0
84.229 70.980 0
84.595 71.314 0
84.961 71.602 0
85.327 71.849 0
85.693 72.053 0
86.060 72.208 0
86.426 72.301 0
86.792 72.321 0
87.158 72.263 0
87.524 72.128 0
87.891 71.919 0
88.257 71.639 0
88.623 71.286 0
88.989 70.852 0
89.355 70.326 0
89.722 69.699 0
90.088 68.970 0
90.454 68.153 0
90.820 67.277 0
91.187 66.384 0
91.553 65.537 0
91.919 64.840 0
92.285 64.445 0
92.651 64.518 0
93.018 65.103 0
93.384 66.075 0
93.750 67.241 0
94.116 68.460 0
94.482 69.670 0
94.849 70.856 0
95.215 72.023 0
95.581 73.171 0
95.947 74.293 0
96.313 75.376 0
96.680 76.404 0
97.046 77.363 0
97.412 78.244 0
97.778 79.039 0
98.145 79.743 0
98.511 80.354 0
98.877 80.873 0
99.243 81.302 0
99.609 81.649 0
99.976 81.919 0
100.342 82.121 0
100.708 82.260 0
101.074 82.345 0
101.440 82.384 0
101.807 82.385 0
102.173 82.356 0
102.539 82.306 0
102.905 82.241 0
103.271 82.167 0
103.638 82.084 0
104.004 81.990 0
104.370 81.882 0
104.736 81.753 0
105.103 81.595 0
105.469 81.400 0
105.835 81.162 0
106.201 80.882 0
106.567 80.567 0
106.934 80.235 0
107.300 79.918 0
107.666 79.652 0
108.032 79.475 0
108.398 79.414 0
108.765 79.470 0
109.131 79.627 0
109.497 79.850 0
109.863 80.104 0
110.229 80.359 0
110.596 80.593 0
110.962 80.796 0
111.328 80.962 0
111.694 81.093 0
112.061 81.189 0
112.427 81.253 0
112.793 81.286 0
113.159 81.286 0
113.525 81.254 0
113.892 81.187 0
114.258 81.088 0
114.624 80.961 0
114.990 80.812 0
115.356 80.655 0
115.723 80.501 0
116.089 80.365 0
116.455 80.258 0
116.821 80.184 0
117.188 80.142 0
117.554 80.125 0
117.920 80.127 0
118.286 80.144 0
118.652 80.173 0
119.019 80.220 0
119.385 80.290 0
119.751 80.390 0
120.117 80.522 0
120.483 80.690 0
120.850 80.893 0
121.216 81.128 0
121.582 81.391 0
121.948 81.678 0
122.314 81.982 0
122.681 82.294 0
123.047 82.605 0
123.413 82.904 0
123.779 83.181 0
124.146 83.424 0
124.512 83.624 0
124.878 83.772 0
125.244 83.862 0
125.610 83.889 0
125.977 83.847 0
126.343 83.735 0
126.709 83.550 0
127.075 83.291 0
127.441 82.958 0
127.808 82.551 0
128.174 82.069 0
128.540 81.511 0
128.906 80.877 0
129.272 80.166 0
129.639 79.377 0
130.005 78.511 0
130.371 77.575 0
130.737 76.587 0
131.104 75.584 0
131.470 74.642 0
131.836 73.877 0
132.202 73.435 0
132.568 73.417 0
132.935 73.805 0
133.301 74.480 0
133.667 75.295 0
134.033 76.141 0
134.399 76.953 0
134.766 77.700 0
135.132 78.369 0
135.498 78.958 0
135.864 79.471 0
136.230 79.913 0
136.597 80.291 0
136.963 80.609 0
137.329 80.874 0
137.695 81.090 0
138.062 81.259 0
138.428 81.384 0
138.794 81.468 0
139.160 81.509 0
139.526 81.508 0
139.893 81.464 0
140.259 81.376 0
140.625 81.243 0
140.991 81.063 0
141.357 80.835 0
141.724 80.558 0
142.090 80.231 0
142.456 79.856 0
142.822 79.434 0
143.188 78.971 0
143.555 78.473 0
143.921 77.949 0
144.287 77.409 0
144.653 76.870 0
145.020 76.347 0
145.386 75.860 0
145.752 75.429 0
146.118 75.072 0
146.484 74.806 0
146.851 74.639 0
147.217 74.574 0
147.583 74.605 0
147.949 74.723 0
148.315 74.911 0
148.682 75.152 0
149.048 75.431 0
149.414 75.731 0
149.780 76.040 0
150.146 76.346 0
150.513 76.641 0
150.879 76.916 0
151.245 77.166 0
151.611 77.386 0
151.978 77.570 0
152.344 77.716 0
152.710 77.822 0
153.076 77.884 0
153.442 77.901 0
153.809 77.873 0
154.175 77.799 0
154.541 77.681 0
154.907 77.520 0
155.273 77.319 0
155.640 77.080 0
156.006 76.808 0
156.372 76.508 0
156.738 76.184 0
157.104 75.841 0
157.471 75.486 0
157.837 75.125 0
158.203 74.761 0
158.569 74.400 0
158.936 74.045 0
159.302 73.698 0
159.668 73.361 0
160.034 73.034 0
160.400 72.715 0
160.767 72.403 0
161.133 72.096 0
161.499 71.790 0
161.865 71.484 0
162.231 71.175 0
162.598 70.861 0
162.964 70.540 0
163.330 70.211 0
163.696 69.875 0
164.062 69.532 0
164.429 69.186 0
164.795 68.840 0
165.161 68.503 0
165.527 68.184 0
165.894 67.898 0
166.260 67.660 0
166.626 67.487 0
166.992 67.397 0
167.358 67.399 0
167.725 67.499 0
168.091 67.693 0
168.457 67.969 0
168.823 68.313 0
169.189 68.705 0
169.556 69.128 0
169.922 69.566 0
170.288 70.008 0
170.654 70.445 0
171.021 70.868 0
171.387 71.275 0
171.753 71.661 0
172.119 72.025 0
172.485 72.368 0
172.852 72.688 0
173.218 72.987 0
173.584 73.264 0
173.950 73.521 0
174.316 73.758 0
174.683 73.977 0
175.049 74.178 0
175.415 74.362 0
175.781 74.530 0
176.147 74.682 0
176.514 74.817 0
176.880 74.938 0
177.246 75.042 0
177.612 75.132 0
177.979 75.205 0
178.345 75.264 0
178.711 75.306 0
179.077 75.333 0
179.443 75.344 0
179.810 75.339 0
180.176 75.319 0
180.542 75.284 0
180.908 75.234 0
181.274 75.170 0
181.641 75.093 0
182.007 75.005 0
182.373 74.905 0
182.739 74.797 0
183.105 74.681 0
183.472 74.560 0
183.838 74.435 0
184.204 74.309 0
184.570 74.184 0
184.937 74.063 0
185.303 73.947 0
185.669 73.840 0
186.035 73.742 0
186.401 73.656 0
186.768 73.583 0
187.134 73.524 0
187.500 73.480 0
187.866 73.450 0
188.232 73.434 0
188.599 73.433 0
188.965 73.444 0
189.331 73.468 0
189.697 73.503 0
190.063 73.548 0
190.430 73.602 0
190.796 73.665 0
191.162 73.735 0
191.528 73.811 0
191.895 73.893 0
192.261 73.981 0
192.627 74.075 0
192.993 74.172 0
193.359 74.274 0
193.726 74.379 0
194.092 74.488 0
194.458 74.598 0
194.824 74.710 0
195.190 74.823 0
195.557 74.935 0
195.923 75.045 0
196.289 75.153 0
196.655 75.257 0
197.021 75.357 0
197.388 75.452 0
197.754 75.540 0
198.120 75.621 0
198.486 75.696 0
198.853 75.763 0
199.219 75.823 0
199.585 75.876 0
199.951 75.923 0
200.317 75.965 0
200.684 76.003 0
201.050 76.037 0
201.416 76.069 0
201.782 76.101 0
202.148 76.134 0
202.515 76.168 0
202.881 76.206 0
203.247 76.247 0
203.613 76.293 0
203.979 76.343 0
204.346 76.398 0
204.712 76.457 0
205.078 76.520 0
205.444 76.585 0
205.811 76.653 0
206.177 76.720 0
206.543 76.788 0
206.909 76.853 0
207.275 76.915 0
207.642 76.974 0
208.008 77.027 0
208.374 77.074 0
208.740 77.115 0
209.106 77.149 0
209.473 77.175 0
209.839 77.194 0
210.205 77.205 0
210.571 77.208 0
210.938 77.203 0
211.304 77.192 0
211.670 77.173 0
212.036 77.148 0
212.402 77.118 0
212.769 77.082 0
213.135 77.042 0
213.501 76.999 0
213.867 76.952 0
214.233 76.904 0
214.600 76.853 0
214.966 76.803 0
215.332 76.752 0
215.698 76.701 0
216.064 76.651 0
216.431 76.602 0
216.797 76.554 0
217.163 76.507 0
217.529 76.462 0
217.896 76.419 0
218.262 76.376 0
218.628 76.335 0
218.994 76.294 0
219.360 76.254 0
219.727 76.214 0
220.093 76.173 0
220.459 76.132 0
220.825 76.090 0
221.191 76.046 0
221.558 76.001 0
221.924 75.954 0
222.290 75.905 0
222.656 75.854 0
223.022 75.801 0
223.389 75.745 0
