* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Aug 23 19:23:20, Aug 23 19:23:40, Aug 23 19:24:07
* Dated: Aug 23, 2020 7:24:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from Aug 23 19:23:20, Aug 23 19:23:40, Aug 23 19:24:07
* Measurement: avg_right
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.888 51.234 0
10.254 51.907 0
10.620 54.777 0
10.986 57.164 0
11.353 58.286 0
11.719 58.327 0
12.085 57.439 0
12.451 55.920 0
12.817 54.341 0
13.184 53.335 0
13.550 52.841 0
13.916 52.235 0
14.282 51.359 0
14.648 50.707 0
15.015 50.808 0
15.381 51.423 0
15.747 52.092 0
16.113 52.714 0
16.479 53.343 0
16.846 53.941 0
17.212 54.370 0
17.578 54.544 0
17.944 54.490 0
18.311 54.301 0
18.677 54.017 0
19.043 53.574 0
19.409 52.882 0
19.775 51.977 0
20.142 51.187 0
20.508 50.973 0
20.874 51.214 0
21.240 51.219 0
21.606 50.548 0
21.973 49.878 0
22.339 51.442 0
22.705 54.625 0
23.071 57.319 0
23.438 59.019 0
23.804 59.748 0
24.170 59.577 0
24.536 58.610 0
24.902 57.098 0
25.269 55.613 0
25.635 54.628 0
26.001 53.580 0
26.367 51.246 0
26.733 47.517 0
27.100 50.905 0
27.466 56.311 0
27.832 59.794 0
28.198 62.176 0
28.564 64.301 0
28.931 66.794 0
29.297 69.660 0
29.663 72.499 0
30.029 75.021 0
30.396 77.129 0
30.762 78.820 0
31.128 80.130 0
31.494 81.102 0
31.860 81.777 0
32.227 82.188 0
32.593 82.367 0
32.959 82.349 0
33.325 82.172 0
33.691 81.893 0
34.058 81.586 0
34.424 81.339 0
34.790 81.217 0
35.156 81.239 0
35.522 81.365 0
35.889 81.533 0
36.255 81.691 0
36.621 81.813 0
36.987 81.900 0
37.354 81.965 0
37.720 82.023 0
38.086 82.088 0
38.452 82.164 0
38.818 82.256 0
39.185 82.364 0
39.551 82.489 0
39.917 82.629 0
40.283 82.782 0
40.649 82.946 0
41.016 83.123 0
41.382 83.315 0
41.748 83.526 0
42.114 83.752 0
42.480 83.982 0
42.847 84.202 0
43.213 84.401 0
43.579 84.581 0
43.945 84.759 0
44.312 84.957 0
44.678 85.188 0
45.044 85.444 0
45.410 85.706 0
45.776 85.962 0
46.143 86.225 0
46.509 86.530 0
46.875 86.908 0
47.241 87.348 0
47.607 87.788 0
47.974 88.137 0
48.340 88.310 0
48.706 88.254 0
49.072 87.956 0
49.438 87.452 0
49.805 86.847 0
50.171 86.300 0
50.537 85.971 0
50.903 85.919 0
51.270 86.066 0
51.636 86.292 0
52.002 86.518 0
52.368 86.728 0
52.734 86.938 0
53.101 87.169 0
53.467 87.421 0
53.833 87.677 0
54.199 87.915 0
54.565 88.120 0
54.932 88.282 0
55.298 88.400 0
55.664 88.477 0
56.030 88.518 0
56.396 88.532 0
56.763 88.531 0
57.129 88.526 0
57.495 88.521 0
57.861 88.516 0
58.228 88.506 0
58.594 88.484 0
58.960 88.445 0
59.326 88.388 0
59.692 88.311 0
60.059 88.217 0
60.425 88.106 0
60.791 87.980 0
61.157 87.840 0
61.523 87.685 0
61.890 87.511 0
62.256 87.316 0
62.622 87.104 0
62.988 86.891 0
63.354 86.709 0
63.721 86.594 0
64.087 86.574 0
64.453 86.650 0
64.819 86.794 0
65.186 86.965 0
65.552 87.125 0
65.918 87.253 0
66.284 87.341 0
66.650 87.392 0
67.017 87.411 0
67.383 87.402 0
67.749 87.364 0
68.115 87.296 0
68.481 87.201 0
68.848 87.085 0
69.214 86.957 0
69.580 86.826 0
69.946 86.700 0
70.312 86.582 0
70.679 86.472 0
71.045 86.368 0
71.411 86.264 0
71.777 86.154 0
72.144 86.028 0
72.510 85.881 0
72.876 85.707 0
73.242 85.506 0
73.608 85.280 0
73.975 85.035 0
74.341 84.778 0
74.707 84.512 0
75.073 84.239 0
75.439 83.956 0
75.806 83.658 0
76.172 83.340 0
76.538 82.998 0
76.904 82.628 0
77.271 82.227 0
77.637 81.796 0
78.003 81.336 0
78.369 80.855 0
78.735 80.362 0
79.102 79.873 0
79.468 79.402 0
79.834 78.959 0
80.200 78.551 0
80.566 78.176 0
80.933 77.827 0
81.299 77.492 0
81.665 77.160 0
82.031 76.820 0
82.397 76.468 0
82.764 76.105 0
83.130 75.732 0
83.496 75.352 0
83.862 74.966 0
84.229 74.570 0
84.595 74.165 0
84.961 73.756 0
85.327 73.361 0
85.693 73.013 0
86.060 72.744 0
86.426 72.581 0
86.792 72.527 0
87.158 72.562 0
87.524 72.657 0
87.891 72.783 0
88.257 72.921 0
88.623 73.060 0
88.989 73.189 0
89.355 73.298 0
89.722 73.372 0
90.088 73.400 0
90.454 73.379 0
90.820 73.315 0
91.187 73.225 0
91.553 73.133 0
91.919 73.062 0
92.285 73.028 0
92.651 73.041 0
93.018 73.099 0
93.384 73.203 0
93.750 73.350 0
94.116 73.540 0
94.482 73.766 0
94.849 74.017 0
95.215 74.276 0
95.581 74.522 0
95.947 74.739 0
96.313 74.913 0
96.680 75.032 0
97.046 75.089 0
97.412 75.078 0
97.778 74.994 0
98.145 74.833 0
98.511 74.591 0
98.877 74.261 0
99.243 73.838 0
99.609 73.312 0
99.976 72.673 0
100.342 71.905 0
100.708 70.997 0
101.074 69.929 0
101.440 68.678 0
101.807 67.217 0
102.173 65.522 0
102.539 63.599 0
102.905 61.565 0
103.271 59.868 0
103.638 59.354 0
104.004 60.323 0
104.370 62.032 0
104.736 63.821 0
105.103 65.456 0
105.469 66.892 0
105.835 68.141 0
106.201 69.230 0
106.567 70.191 0
106.934 71.057 0
107.300 71.855 0
107.666 72.604 0
108.032 73.315 0
108.398 73.989 0
108.765 74.624 0
109.131 75.215 0
109.497 75.760 0
109.863 76.256 0
110.229 76.706 0
110.596 77.113 0
110.962 77.479 0
111.328 77.808 0
111.694 78.101 0
112.061 78.361 0
112.427 78.587 0
112.793 78.783 0
113.159 78.949 0
113.525 79.093 0
113.892 79.220 0
114.258 79.342 0
114.624 79.468 0
114.990 79.607 0
115.356 79.764 0
115.723 79.941 0
116.089 80.132 0
116.455 80.332 0
116.821 80.534 0
117.188 80.733 0
117.554 80.925 0
117.920 81.109 0
118.286 81.286 0
118.652 81.457 0
119.019 81.625 0
119.385 81.793 0
119.751 81.961 0
120.117 82.133 0
120.483 82.307 0
120.850 82.482 0
121.216 82.654 0
121.582 82.815 0
121.948 82.959 0
122.314 83.075 0
122.681 83.154 0
123.047 83.187 0
123.413 83.166 0
123.779 83.084 0
124.146 82.938 0
124.512 82.726 0
124.878 82.450 0
125.244 82.115 0
125.610 81.727 0
125.977 81.296 0
126.343 80.835 0
126.709 80.356 0
127.075 79.874 0
127.441 79.401 0
127.808 78.953 0
128.174 78.541 0
128.540 78.176 0
128.906 77.867 0
129.272 77.621 0
129.639 77.441 0
130.005 77.328 0
130.371 77.275 0
130.737 77.274 0
131.104 77.312 0
131.470 77.371 0
131.836 77.432 0
132.202 77.477 0
132.568 77.486 0
132.935 77.444 0
133.301 77.340 0
133.667 77.164 0
134.033 76.911 0
134.399 76.580 0
134.766 76.171 0
135.132 75.691 0
135.498 75.146 0
135.864 74.545 0
136.230 73.898 0
136.597 73.219 0
136.963 72.518 0
137.329 71.808 0
137.695 71.101 0
138.062 70.407 0
138.428 69.733 0
138.794 69.087 0
139.160 68.469 0
139.526 67.881 0
139.893 67.322 0
140.259 66.791 0
140.625 66.289 0
140.991 65.819 0
141.357 65.387 0
141.724 65.002 0
142.090 64.674 0
142.456 64.415 0
142.822 64.234 0
143.188 64.138 0
143.555 64.129 0
143.921 64.204 0
144.287 64.358 0
144.653 64.581 0
145.020 64.862 0
145.386 65.187 0
145.752 65.544 0
146.118 65.921 0
146.484 66.308 0
146.851 66.697 0
147.217 67.080 0
147.583 67.452 0
147.949 67.811 0
148.315 68.153 0
148.682 68.477 0
149.048 68.782 0
149.414 69.067 0
149.780 69.331 0
150.146 69.575 0
150.513 69.799 0
150.879 70.002 0
151.245 70.187 0
151.611 70.354 0
151.978 70.505 0
152.344 70.642 0
152.710 70.769 0
153.076 70.887 0
153.442 71.000 0
153.809 71.110 0
154.175 71.217 0
154.541 71.323 0
154.907 71.427 0
155.273 71.529 0
155.640 71.626 0
156.006 71.717 0
156.372 71.801 0
156.738 71.877 0
157.104 71.944 0
157.471 72.000 0
157.837 72.046 0
158.203 72.082 0
158.569 72.107 0
158.936 72.121 0
159.302 72.124 0
159.668 72.116 0
160.034 72.097 0
160.400 72.066 0
160.767 72.025 0
161.133 71.973 0
161.499 71.913 0
161.865 71.846 0
162.231 71.776 0
162.598 71.703 0
162.964 71.633 0
163.330 71.569 0
163.696 71.515 0
164.062 71.473 0
164.429 71.446 0
164.795 71.437 0
165.161 71.444 0
165.527 71.467 0
165.894 71.505 0
166.260 71.554 0
166.626 71.611 0
166.992 71.671 0
167.358 71.730 0
167.725 71.783 0
168.091 71.827 0
168.457 71.857 0
168.823 71.869 0
169.189 71.861 0
169.556 71.830 0
169.922 71.774 0
170.288 71.690 0
170.654 71.579 0
171.021 71.441 0
171.387 71.274 0
171.753 71.081 0
172.119 70.863 0
172.485 70.623 0
172.852 70.364 0
173.218 70.091 0
173.584 69.810 0
173.950 69.527 0
174.316 69.250 0
174.683 68.990 0
175.049 68.757 0
175.415 68.562 0
175.781 68.416 0
176.147 68.329 0
176.514 68.307 0
176.880 68.355 0
177.246 68.471 0
177.612 68.651 0
177.979 68.887 0
178.345 69.170 0
178.711 69.487 0
179.077 69.830 0
179.443 70.188 0
179.810 70.553 0
180.176 70.919 0
180.542 71.279 0
180.908 71.630 0
181.274 71.968 0
181.641 72.291 0
182.007 72.597 0
182.373 72.885 0
182.739 73.153 0
183.105 73.402 0
183.472 73.631 0
183.838 73.840 0
184.204 74.029 0
184.570 74.199 0
184.937 74.351 0
185.303 74.484 0
185.669 74.602 0
186.035 74.704 0
186.401 74.794 0
186.768 74.873 0
187.134 74.945 0
187.500 75.011 0
187.866 75.076 0
188.232 75.142 0
188.599 75.214 0
188.965 75.295 0
189.331 75.386 0
189.697 75.492 0
190.063 75.614 0
190.430 75.752 0
190.796 75.908 0
191.162 76.079 0
191.528 76.266 0
191.895 76.466 0
192.261 76.677 0
192.627 76.897 0
192.993 77.122 0
193.359 77.350 0
193.726 77.579 0
194.092 77.807 0
194.458 78.032 0
194.824 78.253 0
195.190 78.468 0
195.557 78.676 0
195.923 78.876 0
196.289 79.069 0
196.655 79.253 0
197.021 79.429 0
197.388 79.595 0
197.754 79.753 0
198.120 79.902 0
198.486 80.043 0
198.853 80.174 0
199.219 80.297 0
199.585 80.412 0
199.951 80.519 0
200.317 80.618 0
200.684 80.709 0
201.050 80.792 0
201.416 80.869 0
201.782 80.938 0
202.148 81.000 0
202.515 81.055 0
202.881 81.103 0
203.247 81.145 0
203.613 81.180 0
203.979 81.208 0
204.346 81.229 0
204.712 81.244 0
205.078 81.252 0
205.444 81.254 0
205.811 81.248 0
206.177 81.236 0
206.543 81.217 0
206.909 81.192 0
207.275 81.160 0
207.642 81.121 0
208.008 81.076 0
208.374 81.025 0
208.740 80.968 0
209.106 80.905 0
209.473 80.836 0
209.839 80.763 0
210.205 80.684 0
210.571 80.601 0
210.938 80.514 0
211.304 80.422 0
211.670 80.327 0
212.036 80.229 0
212.402 80.127 0
212.769 80.023 0
213.135 79.916 0
213.501 79.806 0
213.867 79.693 0
214.233 79.578 0
214.600 79.461 0
214.966 79.341 0
215.332 79.218 0
215.698 79.094 0
216.064 78.967 0
216.431 78.839 0
216.797 78.708 0
217.163 78.575 0
217.529 78.441 0
217.896 78.306 0
218.262 78.170 0
218.628 78.034 0
218.994 77.897 0
219.360 77.761 0
219.727 77.625 0
220.093 77.490 0
220.459 77.356 0
220.825 77.224 0
221.191 77.094 0
221.558 76.966 0
221.924 76.839 0
222.290 76.715 0
222.656 76.592 0
223.022 76.472 0
223.389 76.352 0
